     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/03/2017-06/09/2017,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R020,47-50 STREETS/ROCKEFELLER     ,00143497,00008508,00000571,00001469,00000765,00054866,00089829,00000000,00000000,00000000,00000537,00004367,00001480,00000743,00015641,00005381,00002198,00000000,00002261,00000000,00000000,00000000,00002775,00000000,00000084,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00101387,00005262,00000513,00001377,00000184,00043751,00078234,00000000,00000000,00000000,00000393,00003179,00000946,00000122,00010931,00003370,00001853,00000000,00001607,00000000,00000000,00000000,00002324,00000000,00000080,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00192049,00009885,00000905,00002296,00000972,00086599,00120928,00000000,00000000,00000000,00001559,00002949,00002503,00000905,00014299,00004481,00002474,00000000,00003483,00000000,00000000,00000000,00005525,00000000,00000216,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00146275,00007109,00000527,00001662,00000708,00045643,00086097,00000000,00000000,00000000,00000260,00003251,00001487,00000684,00009248,00004717,00002240,00000000,00001875,00000000,00000000,00000000,00002909,00000000,00000083,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00047852,00002729,00000470,00000808,00000433,00034029,00021846,00000000,00000000,00000000,00000027,00000381,00001367,00000455,00002143,00000706,00000274,00000000,00012435,00000000,00000000,00000000,00002855,00000000,00000186,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00054701,00002440,00000873,00001688,00000027,00056935,00034761,00000000,00000000,00000000,00000070,00000424,00001795,00000026,00004778,00000301,00000338,00000000,00000419,00000000,00000000,00000000,00007085,00000000,00000377,00000000,                                                                                                    
R027,WALL STREET                   ,00068123,00003167,00000144,00000575,00001507,00018030,00044747,00000000,00000000,00000000,00000188,00001641,00000400,00002192,00006499,00002564,00001111,00000000,00000966,00000000,00000000,00000000,00001720,00000000,00000025,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00065288,00004064,00000323,00001167,00000565,00026723,00049342,00000000,00000000,00000000,00000140,00001095,00000668,00000647,00007838,00001964,00001231,00000000,00001168,00000000,00000000,00000000,00002776,00000000,00000033,00000000,                                                                                                    
R029,PARK PLACE                    ,00132649,00006248,00000444,00001476,00001126,00041701,00069931,00000000,00000000,00000000,00001663,00002302,00001712,00001633,00009371,00003975,00002103,00000000,00002626,00000000,00000000,00000000,00005940,00000000,00000040,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00050109,00003055,00000256,00000716,00000716,00017991,00031293,00000000,00000000,00000000,00000172,00000971,00000497,00001041,00004170,00001864,00000895,00000000,00000688,00000000,00000000,00000000,00008965,00000000,00000011,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00097862,00005676,00000434,00001016,00001795,00029575,00037920,00000000,00000000,00000000,00000325,00001371,00001130,00002617,00005158,00003749,00001016,00000000,00001160,00000000,00000000,00000000,00002711,00000000,00000034,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00095982,00005171,00000371,00001072,00000229,00035992,00073802,00000000,00000000,00000000,00000385,00002134,00000698,00000151,00008862,00003556,00001829,00000000,00001064,00000000,00000000,00000000,00001273,00000000,00000060,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00185218,00008973,00000754,00001712,00000631,00092138,00083260,00000000,00000000,00000000,00000596,00002408,00002930,00000512,00011786,00004132,00002085,00000000,00004301,00000000,00000000,00000000,00006853,00000000,00000170,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00016014,00001589,00000153,00000378,00000033,00010301,00013615,00000000,00000000,00000000,00000043,00000149,00000491,00000043,00001185,00000331,00000321,00000000,00000251,00000000,00000000,00000000,00001990,00000000,00000021,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00054315,00004751,00000438,00000887,00000153,00031933,00044046,00000000,00000000,00000000,00000152,00000320,00001622,00000140,00003081,00001369,00001278,00000000,00000671,00000000,00000000,00000000,00005653,00000000,00000020,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00014694,00001804,00000210,00000384,00000001,00014089,00009006,00000000,00000000,00000000,00000021,00000082,00000967,00000000,00001065,00000091,00000179,00000000,00000162,00000000,00000000,00000000,00003459,00000000,00000023,00000000,                                                                                                    
R037,207TH STREET                  ,00009758,00001024,00000195,00000196,00000007,00014481,00007473,00000000,00000000,00000000,00000016,00000035,00000566,00000011,00000683,00000085,00000112,00000000,00000051,00000000,00000000,00000000,00002441,00000000,00000014,00000000,                                                                                                    
R038,215TH STREET                  ,00004001,00000505,00000072,00000106,00000012,00002626,00003181,00000000,00000000,00000000,00000004,00000026,00000141,00000000,00000336,00000100,00000074,00000000,00000037,00000000,00000000,00000000,00000491,00000000,00000006,00000000,                                                                                                    
R039,225TH STREET                  ,00011873,00000958,00000124,00000169,00000056,00009440,00006514,00000000,00000000,00000000,00000012,00000064,00000453,00000051,00000724,00000144,00000116,00000000,00000100,00000000,00000000,00000000,00002517,00000000,00000008,00000000,                                                                                                    
R040,231ST STREET                  ,00017621,00002010,00000318,00000639,00000008,00014677,00013548,00000000,00000000,00000000,00000072,00000144,00001017,00000006,00001554,00000294,00000164,00000000,00000090,00000000,00000000,00000000,00002516,00000000,00000012,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00045546,00002866,00000326,00000669,00000799,00017443,00030167,00000000,00000000,00000000,00001976,00000874,00000620,00001035,00004838,00001665,00000769,00000000,00000578,00000000,00000000,00000000,00003564,00000000,00000016,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00008457,00000374,00000044,00000085,00000137,00005367,00004032,00000000,00000000,00000000,00000064,00000100,00000090,00000221,00000554,00000283,00000078,00000000,00000193,00000000,00000000,00000000,00000467,00000000,00000009,00000000,                                                                                                    
R043,WALL STREET                   ,00043613,00002607,00000136,00000361,00000597,00012831,00030730,00000000,00000000,00000000,00000678,00001029,00000267,00001122,00003738,00001585,00000765,00000000,00000477,00000000,00000000,00000000,00001855,00000000,00000008,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00076798,00005408,00000340,00001241,00000424,00031175,00046262,00000000,00000000,00000000,00000441,00001120,00001003,00000861,00006104,00002133,00001231,00000000,00001242,00000000,00000000,00000000,00005014,00000000,00000033,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00072702,00004195,00000145,00000390,00002007,00011457,00025177,00000001,00000000,00000000,00000173,00001234,00000370,00002346,00003152,00003155,00000853,00000000,00000544,00000000,00000000,00000000,00000720,00000000,00000016,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00224797,00010374,00000555,00001236,00003759,00056037,00093786,00000000,00000000,00000000,00000666,00003106,00002741,00004071,00011612,00007142,00002325,00000000,00003057,00000000,00000000,00000000,00002313,00000000,00000076,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00110824,00005785,00000348,00000873,00001558,00030483,00074127,00000000,00000000,00000000,00000511,00002593,00000654,00002439,00011202,00004821,00001767,00000000,00001095,00000000,00000001,00000000,00001458,00000000,00000043,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00033018,00001488,00000070,00000261,00000504,00007535,00021312,00000000,00000000,00000000,00000053,00000681,00000110,00000467,00002527,00001484,00000510,00000000,00000246,00000000,00000000,00000000,00000344,00000000,00000010,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00055370,00003161,00000186,00000549,00000180,00021247,00034977,00000000,00000000,00000000,00000279,00001433,00000425,00000151,00005325,00001905,00000772,00000000,00001097,00000000,00000000,00000000,00000770,00000000,00000011,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00057119,00004140,00000286,00000720,00000325,00023009,00039852,00000000,00000000,00000000,00000309,00001274,00000654,00000431,00005297,00002169,00000812,00000000,00000690,00000000,00000000,00000000,00001504,00000000,00000036,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00071032,00005444,00000423,00001054,00000182,00041601,00055062,00000000,00000000,00000000,00000257,00001188,00000685,00000246,00006996,00002162,00001196,00000000,00000720,00000000,00000000,00000000,00003953,00000000,00000055,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00010752,00000776,00000229,00000406,00000023,00010951,00006406,00000000,00000000,00000000,00000030,00000088,00000697,00000006,00000724,00000107,00000032,00000000,00000051,00000000,00000000,00000000,00000971,00000000,00000008,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00037644,00002352,00000646,00001091,00000019,00046464,00021990,00000000,00000000,00000000,00000059,00000192,00001648,00000006,00003130,00000239,00000199,00000000,00000173,00000000,00000000,00000000,00008573,00000000,00000067,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00032208,00001603,00000117,00000424,00000177,00013009,00023100,00000000,00000000,00000000,00000136,00000658,00000334,00000129,00002799,00001094,00000510,00000000,00000461,00000000,00000000,00000000,00000728,00000000,00000040,00000000,                                                                                                    
R055,MAIN STREET                   ,00090669,00009928,00001006,00005740,00000049,00057125,00102316,00000000,00000000,00000000,00000166,00000810,00002703,00000061,00004905,00000945,00000707,00000000,00000800,00000000,00000000,00000000,00010759,00000000,00000288,00000000,                                                                                                    
R056,NEVINS STREET                 ,00020630,00001575,00000292,00000465,00000037,00013431,00013376,00000000,00000000,00000000,00000090,00000168,00000495,00000021,00001782,00000393,00000265,00000001,00000252,00000000,00000000,00000000,00003394,00000000,00000044,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00107414,00006758,00000870,00001967,00002297,00048796,00069752,00000000,00000000,00000000,00000213,00001062,00001790,00002704,00008316,00003023,00001753,00000000,00001580,00000000,00000000,00000000,00017069,00000000,00000256,00000000,                                                                                                    
R058,BERGEN STREET                 ,00008653,00000655,00000068,00000147,00000010,00003926,00008512,00000000,00000000,00000000,00000019,00000149,00000117,00000002,00001443,00000327,00000256,00000000,00000154,00000000,00000000,00000000,00000716,00000000,00000009,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00016070,00002366,00000153,00000418,00000015,00006348,00014456,00000000,00000000,00000000,00000018,00000336,00000391,00000033,00002194,00000482,00000398,00000000,00000231,00000000,00000000,00000000,00002540,00000000,00000006,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00010835,00001352,00000173,00000270,00000008,00005842,00010090,00000000,00000000,00000000,00000018,00000136,00000319,00000006,00001404,00000245,00000288,00000000,00000226,00000000,00000000,00000000,00001349,00000000,00000013,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00007449,00000692,00000145,00000153,00000002,00006431,00006389,00000000,00000000,00000000,00000008,00000059,00000215,00000006,00000899,00000070,00000089,00000000,00000092,00000000,00000000,00000000,00001982,00000000,00000014,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00054394,00003673,00001136,00001566,00000022,00048664,00037070,00000000,00000000,00000000,00000072,00000494,00001442,00000026,00005034,00000314,00000683,00000000,00000293,00000000,00000000,00000000,00009704,00000000,00000210,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00012893,00000741,00000132,00000202,00000001,00009754,00006058,00000000,00000000,00000000,00000012,00000097,00000365,00000000,00000758,00000078,00000130,00000000,00000063,00000000,00000000,00000000,00003543,00000002,00000055,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00012678,00001074,00000184,00000322,00000001,00009606,00004932,00000000,00000000,00000000,00000008,00000051,00000649,00000006,00000561,00000051,00000070,00000000,00000067,00000000,00000000,00000000,00003934,00000000,00000061,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00008302,00000533,00000114,00000151,00000002,00006563,00003527,00000000,00000000,00000000,00000005,00000046,00000351,00000000,00000438,00000018,00000051,00000000,00000019,00000000,00000000,00000000,00002747,00000000,00000028,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00006429,00000468,00000089,00000095,00000002,00005020,00002819,00000000,00000000,00000000,00000005,00000027,00000232,00000000,00000376,00000012,00000051,00000000,00000014,00000000,00000000,00000000,00001682,00000000,00000022,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00010243,00000703,00000203,00000242,00000001,00010472,00005585,00000000,00000000,00000000,00000014,00000040,00000393,00000002,00000739,00000040,00000062,00000000,00000063,00000000,00000000,00000000,00002734,00000000,00000043,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00033379,00001832,00000133,00000374,00000007,00005345,00008957,00000000,00000000,00000000,00000281,00001335,00000232,00000004,00001121,00002018,00000121,00000000,00000109,00000000,00000000,00000000,00002878,00000000,00000000,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00029028,00000802,00000080,00000218,00000152,00012143,00014449,00000000,00000000,00000000,00000131,00000355,00000223,00000065,00002103,00000715,00000371,00000000,00000486,00000000,00000000,00000000,00000413,00000000,00000015,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00047753,00003048,00000190,00000547,00000227,00018082,00026061,00000000,00000000,00000000,00000290,00000937,00000560,00000355,00004055,00001626,00000678,00000000,00000792,00000000,00000000,00000000,00000732,00000000,00000047,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00086122,00007220,00000384,00001336,00000234,00035938,00066717,00000000,00000000,00000000,00000350,00001608,00001193,00000263,00008999,00003198,00001618,00000000,00001479,00000000,00000000,00000000,00002117,00000000,00000038,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00066987,00003237,00000323,00000883,00000102,00033879,00046122,00000000,00000000,00000000,00000327,00001381,00000622,00000094,00006739,00002089,00001016,00000000,00001679,00000000,00000000,00000000,00002076,00000000,00000058,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00030922,00001327,00000198,00000349,00000054,00015716,00024893,00000000,00000000,00000000,00000128,00000528,00000338,00000042,00002582,00000929,00000742,00000000,00000596,00000000,00000000,00000000,00000437,00000000,00000022,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00058648,00002825,00000261,00000640,00000130,00027177,00046848,00000000,00000000,00000000,00000443,00001017,00000518,00000103,00005271,00002006,00001252,00000000,00001090,00000000,00000000,00000000,00002094,00000000,00000050,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00172789,00013743,00001023,00003070,00000716,00083192,00114378,00000000,00000000,00000000,00000544,00002259,00002563,00000803,00012420,00005412,00002964,00000000,00003282,00000000,00000000,00000000,00011862,00000000,00000083,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00043372,00002716,00000158,00000538,00000088,00017047,00032952,00000000,00000000,00000000,00000125,00000664,00000313,00000082,00003801,00001352,00000725,00000000,00000895,00000000,00000000,00000000,00001599,00000000,00000025,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00040040,00001350,00000147,00000269,00000065,00019732,00026141,00000000,00000000,00000000,00000159,00000515,00000243,00000085,00002807,00000961,00000714,00000000,00000905,00000000,00000000,00000000,00001155,00000000,00000032,00000000,                                                                                                    
R087,CITY HALL                     ,00017919,00001203,00000096,00000314,00000010,00006798,00013069,00000000,00000000,00000000,00000130,00000306,00000234,00000025,00001305,00000630,00000296,00000000,00000307,00000000,00000000,00000000,00001461,00000000,00000008,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00059697,00001591,00000116,00000330,00000061,00020585,00027095,00000000,00000000,00000000,00000253,00001019,00000565,00000047,00003433,00001588,00000818,00000000,00001442,00000000,00000000,00000000,00000914,00000000,00000016,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00009167,00000466,00000046,00000119,00000011,00002896,00006125,00000000,00000000,00000000,00000043,00000165,00000138,00000020,00000681,00000337,00000199,00000000,00000196,00000000,00000000,00000000,00000676,00000000,00000004,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00005343,00000340,00000056,00000083,00000003,00004032,00003173,00000000,00000000,00000000,00000025,00000044,00000151,00000004,00000316,00000078,00000082,00000000,00000139,00000000,00000000,00000000,00000362,00000000,00000008,00000000,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00010916,00000780,00000072,00000140,00000011,00006749,00011391,00000000,00000000,00000000,00000008,00000120,00000253,00000016,00001234,00000177,00000307,00000000,00000135,00000000,00000000,00000000,00002248,00000000,00000031,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00019120,00001424,00000122,00000337,00000013,00009615,00023245,00000000,00000000,00000000,00000008,00000304,00000450,00000023,00002865,00000478,00000717,00000000,00000253,00000000,00000000,00000000,00002447,00000000,00000021,00000000,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00021634,00001309,00000154,00000309,00000014,00011968,00025607,00000000,00000000,00000000,00000023,00000222,00000571,00000017,00003163,00000508,00000678,00000000,00000239,00000000,00000000,00000000,00002204,00000000,00000047,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00019908,00000977,00000104,00000222,00000021,00010117,00020659,00000000,00000000,00000000,00000033,00000276,00000428,00000005,00002498,00000467,00000522,00000000,00000182,00000000,00000000,00000000,00001754,00000000,00000032,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00027903,00001510,00000159,00000310,00000008,00012511,00029522,00000000,00000000,00000000,00000027,00000469,00000727,00000016,00003497,00000692,00000701,00000000,00000225,00000000,00000000,00000000,00003417,00000000,00000059,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00032336,00003336,00000440,00000801,00000019,00027496,00021746,00000000,00000000,00000000,00000021,00000183,00001184,00000019,00001420,00000258,00000296,00000000,00000315,00000000,00000000,00000000,00004745,00000000,00000166,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00053203,00001991,00000306,00000625,00000012,00047511,00023352,00000000,00000000,00000000,00000021,00000194,00000993,00000013,00001402,00000143,00000239,00000000,00000296,00000000,00000000,00000000,00007033,00000000,00000238,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00032006,00002454,00000581,00000991,00000008,00028209,00027595,00000000,00000000,00000000,00000025,00000237,00000946,00000018,00003279,00000216,00000621,00000000,00000202,00000000,00000000,00000000,00005825,00000000,00000266,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00038581,00002407,00000275,00001266,00000039,00019843,00037550,00000000,00000000,00000000,00000069,00000608,00000605,00000057,00004609,00001085,00000835,00000000,00000519,00000000,00000000,00000000,00009287,00000000,00000107,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00006748,00000358,00000045,00000154,00000000,00003631,00004214,00000000,00000000,00000000,00000008,00000117,00000160,00000000,00000402,00000168,00000053,00000000,00000029,00000000,00000000,00000000,00001639,00000000,00000005,00000000,                                                                                                    
R101,145TH STREET                  ,00039499,00002263,00000481,00000884,00000037,00043470,00043731,00000000,00000000,00000000,00000052,00000242,00000894,00000023,00004395,00000459,00000924,00000000,00000516,00000000,00000000,00000000,00006419,00000000,00000047,00000000,                                                                                                    
R102,125TH STREET                  ,00053543,00003756,00000932,00001634,00000074,00049583,00047702,00000000,00000000,00000000,00000076,00000425,00001663,00000059,00005299,00000752,00000973,00000000,00000779,00000000,00000000,00000000,00008266,00000000,00000088,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00016001,00000954,00000315,00000483,00000013,00015775,00008788,00000000,00000000,00000000,00000014,00000084,00000678,00000011,00001132,00000069,00000110,00000000,00000180,00000000,00000000,00000000,00003045,00000000,00000050,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00018249,00000850,00000241,00000426,00000006,00023246,00010926,00000000,00000000,00000000,00000008,00000065,00000666,00000010,00001384,00000067,00000146,00000000,00000118,00000000,00000000,00000000,00003591,00000000,00000040,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00060564,00006062,00000505,00001426,00000178,00030498,00044362,00000000,00000000,00000000,00000165,00001015,00000801,00000152,00005699,00002005,00001213,00000000,00001201,00000000,00000000,00000000,00003632,00000000,00000035,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00013184,00000722,00000167,00000204,00000002,00010994,00007226,00000000,00000000,00000000,00000038,00000120,00000400,00000000,00000974,00000068,00000083,00000000,00000071,00000000,00000000,00000000,00002757,00000000,00000023,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00010162,00000771,00000149,00000306,00000004,00009337,00006589,00000000,00000000,00000000,00000057,00000083,00000409,00000007,00000730,00000111,00000082,00000000,00000055,00000000,00000000,00000000,00003238,00000000,00000014,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00077785,00007889,00000659,00001629,00000416,00030355,00057605,00000000,00000000,00000000,00000336,00001265,00001416,00000593,00007970,00002469,00001403,00000000,00000885,00000000,00000000,00000000,00006930,00000000,00000062,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00019002,00001490,00000331,00000550,00000002,00014944,00010911,00000000,00000000,00000000,00000011,00000112,00000617,00000012,00001438,00000072,00000206,00000000,00000132,00000000,00000000,00000000,00003529,00000000,00000040,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00031997,00002335,00000733,00000917,00000025,00025969,00024170,00000000,00000000,00000000,00000080,00000427,00000765,00000008,00003395,00000459,00000269,00000000,00000180,00000000,00000000,00000000,00005105,00000000,00000124,00000000,                                                                                                    
R111,23RD STREET & 8TH AVENUE      ,00055224,00004959,00000426,00001410,00000069,00028148,00041569,00000000,00000000,00000000,00000121,00000919,00000694,00000078,00004483,00001764,00001152,00000000,00001458,00000000,00000000,00000000,00005841,00000000,00000038,00000000,                                                                                                    
