     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/17/2016-12/23/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00031675,00002071,00000432,00001115,00000029,00021790,00025426,00000000,00000000,00000000,00000000,00000651,00000929,00000009,00002882,00000547,00000231,00000000,00000214,00000000,00000000,00000000,00003739,00000000,                                                                                                                      
R020,47-50 STREETS/ROCKEFELLER     ,00201959,00010322,00000663,00001599,00000773,00072409,00090628,00000000,00000000,00000000,00000000,00004335,00001699,00000843,00014190,00005291,00002092,00000000,00003007,00000000,00000000,00000000,00004186,00000000,                                                                                                                      
R021,42ND STREET & 6TH AVENUE      ,00107050,00004867,00000435,00001146,00000223,00045482,00066999,00000000,00000000,00000000,00000000,00002706,00000825,00000148,00009478,00002913,00001505,00000000,00001573,00000000,00000000,00000000,00002595,00000000,                                                                                                                      
R022,34TH STREET & 6TH AVENUE      ,00224779,00010829,00001038,00002526,00000971,00108182,00123180,00000000,00000000,00000000,00000000,00002852,00002658,00000841,00013707,00003991,00002275,00000000,00003468,00000000,00000000,00000000,00006102,00000000,                                                                                                                      
R023,34TH STREET & 6TH AVENUE      ,00142488,00006768,00000634,00001538,00000575,00048945,00076245,00000000,00000000,00000000,00000000,00002670,00001401,00000660,00007915,00003631,00001731,00000000,00001626,00000000,00000000,00000000,00002991,00000000,                                                                                                                      
R024,SUTPHIN BOULEVARD             ,00046822,00002334,00000435,00000787,00000386,00037093,00021940,00000000,00000000,00000000,00000000,00000322,00001091,00000501,00002000,00000594,00000248,00000000,00010799,00000000,00000000,00000000,00002915,00000000,                                                                                                                      
R025,JAMAICA CENTER-PARSONS BLVD   ,00057434,00002300,00000846,00001593,00000034,00061795,00035262,00000000,00000000,00000000,00000000,00000404,00001686,00000039,00004710,00000272,00000390,00000000,00000439,00000000,00000000,00000000,00007785,00000000,                                                                                                                      
R027,WALL STREET                   ,00058798,00002597,00000122,00000467,00001054,00016243,00033044,00000000,00000000,00000000,00000000,00001291,00000274,00002077,00005065,00002111,00000850,00000000,00000739,00000000,00000000,00000000,00001434,00000000,                                                                                                                      
R028,FULTON & WILLIAM STREETS      ,00061692,00003745,00000316,00001048,00000456,00025074,00039701,00000000,00000000,00000000,00000000,00000930,00000534,00000675,00006529,00001626,00000958,00000000,00001070,00000000,00000000,00000000,00002785,00000000,                                                                                                                      
R029,PARK PLACE                    ,00131508,00005667,00000379,00001311,00000888,00038591,00058059,00000000,00000000,00000000,00000000,00001899,00001248,00001543,00007627,00003367,00001625,00000000,00002254,00000000,00000000,00000000,00006095,00000000,                                                                                                                      
R030,CHAMBERS STREET               ,00048159,00002763,00000221,00000677,00000517,00017402,00025880,00000000,00000000,00000000,00000000,00000754,00000400,00000992,00003320,00001632,00000671,00000000,00000681,00000000,00000000,00000000,00009561,00000000,                                                                                                                      
R031,34TH STREET & 7TH AVENUE      ,00114245,00006310,00000493,00001137,00001525,00038856,00040792,00000000,00000000,00000000,00000000,00001312,00001270,00002586,00005770,00003437,00000934,00000000,00001335,00000000,00000000,00000000,00003208,00000000,                                                                                                                      
R032,42ND STREET/TIMES SQUARE      ,00085605,00004408,00000352,00000973,00000208,00033458,00057346,00000000,00000000,00000000,00000000,00001804,00000556,00000136,00006441,00002399,00001370,00000000,00000946,00000000,00000000,00000000,00001283,00000000,                                                                                                                      
R033,42ND STREET/TIMES SQUARE      ,00189967,00007142,00000595,00001494,00000631,00088171,00068404,00000000,00000000,00000000,00000000,00002025,00002099,00000544,00009864,00003448,00001472,00000000,00003538,00000000,00000000,00000000,00006742,00000000,                                                                                                                      
R034,125TH STREET & BROADWAY       ,00016454,00001547,00000157,00000312,00000032,00010233,00010568,00000000,00000000,00000000,00000000,00000107,00000421,00000029,00001079,00000333,00000213,00000000,00000267,00000000,00000000,00000000,00002050,00000000,                                                                                                                      
R035,168TH STREET & BROADWAY       ,00055345,00004210,00000416,00000830,00000155,00031872,00038023,00000000,00000000,00000000,00000000,00000305,00001507,00000145,00002850,00001179,00001077,00000000,00000616,00000000,00000000,00000000,00007399,00000000,                                                                                                                      
R036,DYCKMAN STREET                ,00015131,00001598,00000177,00000400,00000001,00015061,00008992,00000000,00000000,00000000,00000000,00000074,00000978,00000001,00001015,00000100,00000161,00000000,00000099,00000000,00000000,00000000,00003673,00000000,                                                                                                                      
R037,207TH STREET                  ,00010126,00000919,00000161,00000183,00000004,00014889,00007355,00000000,00000000,00000000,00000000,00000036,00000518,00000014,00000765,00000062,00000067,00000000,00000049,00000000,00000000,00000000,00002495,00000000,                                                                                                                      
R038,215TH STREET                  ,00003950,00000406,00000038,00000117,00000000,00002545,00002695,00000000,00000000,00000000,00000000,00000022,00000099,00000002,00000284,00000080,00000080,00000000,00000040,00000000,00000000,00000000,00000552,00000000,                                                                                                                      
R039,225TH STREET                  ,00013137,00000911,00000120,00000161,00000049,00010809,00006942,00000000,00000000,00000000,00000000,00000070,00000366,00000039,00000858,00000124,00000105,00000000,00000100,00000000,00000000,00000000,00002792,00000000,                                                                                                                      
R040,231ST STREET                  ,00017787,00002045,00000274,00000633,00000004,00014867,00012947,00000000,00000000,00000000,00000000,00000132,00000686,00000013,00001414,00000240,00000146,00000000,00000102,00000000,00000000,00000000,00002306,00000000,                                                                                                                      
R041,BOWLING GREEN & BATTERY PL    ,00047021,00002561,00000316,00000727,00000519,00021124,00027801,00000000,00000000,00000000,00000000,00000831,00000555,00000904,00004282,00001363,00000615,00000000,00000597,00000000,00000000,00000000,00003803,00000000,                                                                                                                      
R042,BOWLING GREEN & BROADWAY      ,00009391,00000317,00000056,00000078,00000065,00006850,00003906,00000000,00000000,00000000,00000000,00000097,00000072,00000172,00000552,00000220,00000065,00000000,00000205,00000000,00000000,00000000,00000450,00000000,                                                                                                                      
R043,WALL STREET                   ,00045879,00002474,00000215,00000401,00000456,00016237,00027842,00000000,00000000,00000000,00000001,00001016,00000262,00001045,00003400,00001274,00000610,00000000,00000657,00000000,00000000,00000000,00001697,00000000,                                                                                                                      
R044,BROOKLYN BRIDGE               ,00069636,00004642,00000333,00001175,00000309,00028817,00040823,00000000,00000000,00000000,00000000,00000984,00000657,00000791,00005026,00001718,00000988,00000000,00001063,00000000,00000000,00000000,00005442,00000000,                                                                                                                      
R045,42ND STREET & GRAND CENTRAL   ,00077118,00004168,00000201,00000384,00001780,00011911,00022354,00000000,00000000,00000000,00000000,00001152,00000389,00002245,00002823,00002816,00000554,00000000,00000657,00000000,00000000,00000000,00000755,00000000,                                                                                                                      
R046,42ND STREET & GRAND CENTRAL   ,00232178,00010474,00000578,00001377,00002980,00060483,00081898,00000000,00000000,00000000,00000000,00002947,00002120,00003789,00010581,00005951,00002065,00000000,00003422,00000000,00000000,00000000,00002197,00000000,                                                                                                                      
R047,42ND STREET & GRAND CENTRAL   ,00106456,00005754,00000346,00000833,00001299,00031166,00062684,00000000,00000000,00000000,00000000,00002321,00000647,00002280,00009459,00003914,00001476,00000000,00001044,00000000,00000000,00000000,00001244,00000000,                                                                                                                      
R048,42ND STREET & 3RD AVENUE      ,00030755,00001428,00000065,00000255,00000384,00007401,00017298,00000000,00000000,00000000,00000000,00000615,00000116,00000444,00002103,00001326,00000382,00000000,00000296,00000000,00000000,00000000,00000282,00000000,                                                                                                                      
R049,51ST STREET & LEXINGTON AVE   ,00063924,00003574,00000207,00000548,00000166,00024403,00031490,00000000,00000000,00000000,00000000,00001287,00000510,00000161,00005066,00001789,00000656,00000000,00001070,00000000,00000000,00000000,00000744,00000000,                                                                                                                      
R050,59TH STREET & LEXINGTON AVE   ,00064170,00004250,00000326,00000744,00000298,00027194,00040090,00000000,00000000,00000000,00000000,00001231,00000663,00000460,00005291,00001930,00000856,00000000,00000705,00000000,00000000,00000000,00001653,00000000,                                                                                                                      
R051,59TH STREET & LEXINGTON AVE   ,00092097,00006486,00000518,00001223,00000200,00050278,00063479,00000000,00000000,00000000,00000000,00001356,00000706,00000362,00007737,00002412,00001236,00000000,00000928,00000000,00000000,00000000,00004808,00000000,                                                                                                                      
R052,WOODLAWN ROAD                 ,00009318,00000603,00000135,00000313,00000008,00010533,00006296,00000000,00000000,00000000,00000000,00000088,00000475,00000008,00000593,00000081,00000030,00000000,00000040,00000000,00000000,00000000,00001057,00000000,                                                                                                                      
R053,149TH STREET & 3RD AVENUE     ,00037064,00002134,00000599,00000965,00000013,00049664,00021962,00000000,00000000,00000000,00000000,00000177,00001460,00000012,00003154,00000162,00000176,00000000,00000166,00000001,00000000,00000000,00009280,00000000,                                                                                                                      
R054,FIFTH AVENUE & 42ND STREET    ,00037659,00001757,00000144,00000349,00000141,00014236,00021954,00000000,00000000,00000000,00000000,00000746,00000323,00000098,00002492,00000932,00000447,00000000,00000597,00000000,00000000,00000000,00000866,00000000,                                                                                                                      
R055,MAIN STREET                   ,00092861,00008849,00000939,00005255,00000048,00058776,00099978,00000000,00000000,00000000,00000000,00000774,00002128,00000054,00004559,00000768,00000610,00000000,00000713,00000000,00000000,00000000,00011501,00000000,                                                                                                                      
R056,NEVINS STREET                 ,00022008,00001570,00000259,00000503,00000038,00015260,00012773,00000000,00000000,00000000,00000000,00000190,00000437,00000028,00001573,00000404,00000203,00000000,00000255,00000000,00000000,00000000,00003941,00000000,                                                                                                                      
R057,BARCLAYS CENTER               ,00109518,00006088,00000802,00001813,00001577,00055627,00064617,00000000,00000000,00000000,00000000,00000995,00001553,00002559,00007458,00002580,00001450,00000000,00001535,00000000,00000000,00000000,00018409,00000000,                                                                                                                      
R058,BERGEN STREET                 ,00008136,00000606,00000066,00000147,00000003,00003681,00006801,00000000,00000000,00000000,00000000,00000119,00000081,00000001,00001208,00000254,00000224,00000000,00000150,00000000,00000000,00000000,00000481,00000000,                                                                                                                      
R059,GRAND ARMY PLAZA              ,00015822,00002160,00000083,00000371,00000017,00005978,00012253,00000000,00000000,00000000,00000000,00000271,00000326,00000029,00001737,00000483,00000302,00000000,00000166,00000000,00000000,00000000,00002009,00000000,                                                                                                                      
R060,EASTERN PARKWAY               ,00009016,00000955,00000128,00000207,00000014,00005173,00007793,00000000,00000000,00000000,00000000,00000090,00000197,00000005,00001284,00000200,00000256,00000000,00000152,00000000,00000000,00000000,00001392,00000000,                                                                                                                      
R061,NOSTRAND AVENUE               ,00007199,00000583,00000128,00000145,00000005,00006007,00005646,00000000,00000000,00000000,00000000,00000044,00000176,00000005,00000755,00000063,00000118,00000000,00000113,00000000,00000000,00000000,00002048,00000000,                                                                                                                      
R062,UTICA AVENUE                  ,00054469,00003469,00000952,00001435,00000018,00051496,00035313,00000000,00000000,00000000,00000000,00000445,00001305,00000044,00004615,00000206,00000726,00000000,00000335,00000000,00000000,00000000,00010568,00000000,                                                                                                                      
R064,SARATOGA AVENUE               ,00012118,00000606,00000119,00000208,00000002,00009747,00005281,00000000,00000000,00000000,00000000,00000058,00000352,00000000,00000684,00000033,00000068,00000000,00000045,00000000,00000000,00000000,00003747,00000000,                                                                                                                      
R065,ROCKAWAY AVENUE               ,00012092,00001044,00000161,00000340,00000000,00010643,00004970,00000000,00000000,00000000,00000000,00000027,00000567,00000004,00000541,00000027,00000046,00000000,00000047,00000000,00000000,00000000,00005764,00000000,                                                                                                                      
R068,VAN SICLEN AVENUE             ,00011767,00000818,00000202,00000199,00000000,00009986,00004684,00000000,00000000,00000000,00000000,00000055,00000459,00000000,00000609,00000049,00000073,00000000,00000028,00000000,00000000,00000000,00004181,00000000,                                                                                                                      
R069,NEW LOTS AVENUE               ,00010463,00000652,00000176,00000261,00000000,00011358,00005324,00000000,00000000,00000000,00000000,00000043,00000395,00000001,00000662,00000108,00000042,00000000,00000035,00000000,00000000,00000000,00002826,00000000,                                                                                                                      
R070,ST GEORGE TERMINAL            ,00026635,00001408,00000088,00000297,00000007,00004283,00007084,00000000,00000000,00000000,00000000,00001080,00000143,00000010,00000909,00001596,00000088,00000000,00000040,00000000,00000000,00000000,00002823,00000000,                                                                                                                      
R072,34TH STREET - HUDSON YARDS    ,00021119,00000551,00000109,00000136,00000093,00008833,00009331,00000000,00000000,00000000,00000000,00000261,00000122,00000066,00001442,00000469,00000223,00000000,00000323,00000000,00000000,00000000,00000257,00000000,                                                                                                                      
R079,FIFTH AVENUE & 60TH STREET    ,00051705,00002592,00000167,00000510,00000165,00020463,00025303,00000000,00000000,00000000,00000000,00000900,00000462,00000289,00004000,00001372,00000534,00000000,00000741,00000000,00000000,00000000,00000574,00000000,                                                                                                                      
R080,57TH STREET & 7TH AVENUE      ,00074278,00005224,00000380,00001033,00000181,00032318,00047642,00000000,00000000,00000000,00000000,00001183,00000875,00000267,00006518,00002097,00001067,00000000,00001201,00000000,00000000,00000000,00001839,00000000,                                                                                                                      
R081,49TH STREET & 7TH AVENUE      ,00076229,00003057,00000267,00000780,00000121,00034976,00040585,00000000,00000000,00000000,00000000,00001292,00000542,00000111,00006099,00001819,00000906,00000000,00001490,00000000,00000000,00000000,00002237,00000000,                                                                                                                      
R082,28TH STREET & BROADWAY        ,00030432,00001266,00000175,00000293,00000043,00015619,00020947,00000000,00000000,00000000,00000000,00000505,00000357,00000028,00001957,00000816,00000581,00000000,00000611,00000000,00000000,00000000,00000447,00000000,                                                                                                                      
R083,23RD STREET & 5TH AVENUE      ,00058733,00002395,00000203,00000555,00000163,00025536,00039139,00000000,00000000,00000000,00000000,00000930,00000402,00000125,00004236,00001636,00001007,00000000,00001000,00000000,00000000,00000000,00001896,00000000,                                                                                                                      
R084,59TH STREET/COLUMBUS CIRCLE   ,00182214,00012953,00000926,00002798,00000730,00083323,00103859,00000000,00000000,00000000,00000000,00002134,00002129,00000805,00011263,00004810,00002413,00000000,00003174,00000000,00000000,00000000,00013115,00000000,                                                                                                                      
R085,8TH STREET & BROADWAY         ,00046533,00002751,00000169,00000481,00000102,00017350,00028413,00000000,00000000,00000000,00000000,00000617,00000262,00000099,00003060,00001269,00000624,00000000,00000890,00000000,00000000,00000000,00001073,00000000,                                                                                                                      
R086,PRINCE STREET & BROADWAY      ,00049129,00001451,00000117,00000303,00000054,00022386,00027440,00000000,00000000,00000000,00000000,00000541,00000178,00000095,00002757,00000961,00000641,00000000,00000926,00000000,00000000,00000000,00001279,00000000,                                                                                                                      
R087,CITY HALL                     ,00013278,00000912,00000045,00000184,00000007,00004914,00009316,00000000,00000000,00000000,00000000,00000218,00000145,00000021,00000942,00000372,00000239,00000000,00000160,00000000,00000000,00000000,00001492,00000000,                                                                                                                      
R088,CORTLANDT STREET              ,00045796,00001145,00000083,00000201,00000037,00014748,00016903,00000000,00000000,00000000,00000000,00000688,00000247,00000061,00002052,00000991,00000502,00000000,00000936,00000000,00000000,00000000,00000735,00000000,                                                                                                                      
R089,JAY ST-METROTECH              ,00007490,00000451,00000042,00000076,00000008,00002594,00005159,00000000,00000000,00000000,00000000,00000104,00000112,00000021,00000518,00000239,00000126,00000000,00000114,00000000,00000000,00000000,00000633,00000000,                                                                                                                      
R090,39TH AVENUE & 31ST STREET     ,00005925,00000396,00000063,00000104,00000002,00005123,00003354,00000000,00000000,00000000,00000000,00000048,00000173,00000003,00000321,00000067,00000064,00000000,00000076,00000000,00000000,00000000,00000342,00000000,                                                                                                                      
R091,36TH AVENUE & 31ST STREET     ,00014155,00000881,00000074,00000200,00000017,00008611,00012976,00000000,00000000,00000000,00000000,00000141,00000364,00000010,00001211,00000168,00000318,00000000,00000160,00000000,00000000,00000000,00002754,00000000,                                                                                                                      
R092,BROADWAY & 31ST STREET        ,00025057,00001669,00000148,00000367,00000023,00012421,00026043,00000000,00000000,00000000,00000000,00000294,00000495,00000028,00003016,00000526,00000757,00000000,00000300,00000000,00000000,00000000,00003129,00000000,                                                                                                                      
R093,30TH AVENUE & 31ST STREET     ,00028260,00001549,00000164,00000368,00000021,00015879,00028572,00000000,00000000,00000000,00000000,00000204,00000739,00000012,00003128,00000464,00000588,00000000,00000269,00000000,00000000,00000000,00002402,00000000,                                                                                                                      
R094,ASTORIA BLVD & 31ST STREET    ,00024731,00001113,00000143,00000270,00000011,00013194,00022755,00000000,00000000,00000000,00000000,00000322,00000431,00000025,00002491,00000394,00000475,00000000,00000273,00000000,00000000,00000000,00001660,00000000,                                                                                                                      
R095,DITMARS BLVD & 31ST STREET    ,00035375,00001933,00000185,00000332,00000011,00016640,00033190,00000000,00000000,00000000,00000000,00000466,00000796,00000019,00003392,00000710,00000623,00000000,00000330,00000000,00000000,00000000,00003700,00000000,                                                                                                                      
R096,82ND STREET-JACKSON HEIGHTS   ,00033022,00003076,00000377,00000715,00000011,00026786,00020943,00000000,00000000,00000000,00000000,00000219,00000880,00000024,00001411,00000200,00000248,00000000,00000272,00000000,00000000,00000000,00004961,00000000,                                                                                                                      
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00054165,00001822,00000213,00000585,00000012,00047016,00022530,00000000,00000000,00000000,00000000,00000176,00000774,00000008,00001179,00000134,00000260,00000000,00000323,00000000,00000000,00000000,00008068,00000000,                                                                                                                      
R098,CHURCH AVENUE                 ,00031765,00002241,00000504,00000815,00000016,00027947,00024344,00000000,00000000,00000000,00000000,00000269,00000817,00000015,00003046,00000187,00000509,00000000,00000243,00000000,00000000,00000000,00006189,00000000,                                                                                                                      
R099,DEKALB AVENUE                 ,00037402,00002195,00000251,00001055,00000028,00019091,00030697,00000000,00000000,00000000,00000000,00000508,00000504,00000040,00003308,00000872,00000570,00000000,00000462,00000000,00000000,00000000,00011129,00000000,                                                                                                                      
R100,METROPOLITAN AVENUE           ,00010192,00000530,00000065,00000213,00000001,00006397,00005197,00000000,00000000,00000000,00000000,00000132,00000239,00000000,00000521,00000145,00000069,00000000,00000068,00000000,00000000,00000000,00001837,00000000,                                                                                                                      
R101,145TH STREET                  ,00040401,00002075,00000403,00000884,00000032,00042764,00038260,00000000,00000000,00000000,00000000,00000204,00000752,00000019,00003929,00000463,00000750,00000000,00000565,00000000,00000000,00000000,00006625,00000000,                                                                                                                      
R102,125TH STREET                  ,00053701,00003397,00000795,00001472,00000048,00050608,00041627,00000000,00000000,00000000,00000000,00000353,00001481,00000061,00005011,00000673,00000700,00000000,00000600,00000000,00000000,00000000,00008967,00000000,                                                                                                                      
R103,BROADWAY-EAST NEW YORK        ,00014910,00000760,00000277,00000378,00000012,00016018,00008248,00000000,00000000,00000000,00000000,00000056,00000588,00000004,00000841,00000062,00000075,00000000,00000123,00000000,00000000,00000000,00003321,00000000,                                                                                                                      
R104,167TH ST-GRAND CONCOURSE      ,00019282,00000840,00000223,00000355,00000003,00024452,00011080,00000000,00000000,00000000,00000000,00000071,00000547,00000015,00001437,00000067,00000135,00000000,00000145,00000000,00000000,00000000,00004131,00000000,                                                                                                                      
R105,14TH STREET & 7TH AVENUE      ,00058417,00005207,00000413,00001322,00000163,00028546,00035487,00000000,00000000,00000000,00000000,00001010,00000590,00000157,00004436,00001731,00000932,00000000,00000956,00000000,00000000,00000000,00002946,00000000,                                                                                                                      
R106,CASTLE HILL AVENUE            ,00012863,00000719,00000136,00000201,00000000,00011118,00007227,00000000,00000000,00000000,00000000,00000099,00000323,00000002,00000919,00000073,00000089,00000000,00000043,00000000,00000000,00000000,00002937,00000000,                                                                                                                      
R107,WESTCHESTER SQUARE            ,00009563,00000642,00000132,00000304,00000001,00009032,00006359,00000000,00000000,00000000,00000000,00000083,00000370,00000002,00000695,00000073,00000060,00000000,00000054,00000000,00000000,00000000,00004169,00000000,                                                                                                                      
R108,BOROUGH HALL - COURT STREET   ,00074265,00007187,00000624,00001575,00000315,00031493,00049717,00000000,00000000,00000000,00000000,00001122,00001149,00000591,00006775,00002010,00001093,00000000,00000790,00000000,00000000,00000000,00005315,00000000,                                                                                                                      
R109,CHURCH AVENUE & NOSTRAND AV   ,00019200,00001416,00000298,00000497,00000005,00015571,00010387,00000000,00000000,00000000,00000000,00000135,00000531,00000006,00001394,00000068,00000166,00000000,00000130,00000000,00000000,00000000,00003855,00000000,                                                                                                                      
R110,FLATBUSH AVE & NOSTRAND AV    ,00032335,00002244,00000563,00000902,00000027,00026745,00023481,00000000,00000000,00000000,00000000,00000327,00000587,00000007,00003305,00000416,00000258,00000000,00000140,00000000,00000000,00000000,00005523,00000000,                                                                                                                      
R111,23RD STREET & 8TH AVENUE      ,00053254,00005083,00000333,00001360,00000057,00025707,00034336,00000000,00000000,00000000,00000000,00000849,00000634,00000059,00003716,00001599,00000986,00000000,00001184,00000000,00000000,00000000,00005735,00000000,                                                                                                                      
R112,FORDHAM RD/GRAND CONCOURSE    ,00023066,00001094,00000249,00000409,00000013,00025769,00011669,00000000,00000000,00000000,00000000,00000099,00000600,00000011,00001294,00000088,00000098,00000000,00000162,00000000,00000000,00000000,00004280,00000000,                                                                                                                      
R113,SEVENTH AVENUE & WEST 53RD    ,00048882,00001696,00000143,00000355,00000317,00017819,00020236,00000000,00000000,00000000,00000000,00000824,00000446,00000461,00003890,00001681,00000511,00000000,00001333,00000000,00000000,00000000,00000890,00000000,                                                                                                                      
R114,PARSONS BLVD & HILLSIDE AV    ,00011878,00000678,00000132,00000343,00000004,00009211,00008331,00000000,00000000,00000000,00000000,00000073,00000337,00000000,00000584,00000110,00000078,00000000,00000122,00000000,00000000,00000000,00003851,00000000,                                                                                                                      
R115,169TH STREET & HILLSIDE AVE   ,00017592,00001096,00000149,00000372,00000008,00010065,00011794,00000000,00000000,00000000,00000000,00000164,00000489,00000001,00000724,00000123,00000129,00000000,00000170,00000000,00000000,00000000,00004417,00000000,                                                                                                                      
R116,50TH STREET & 7TH AVENUE      ,00080259,00004270,00000269,00000814,00000696,00029430,00032073,00000000,00000000,00000000,00000000,00001200,00000791,00000906,00005036,00002272,00000788,00000000,00001497,00000000,00000000,00000000,00003578,00000000,                                                                                                                      
R117,242ND STREET & BROADWAY       ,00010632,00000603,00000105,00000194,00000005,00009304,00007047,00000000,00000000,00000000,00000000,00000063,00000398,00000004,00000869,00000180,00000045,00000000,00000073,00000000,00000000,00000000,00000555,00000000,                                                                                                                      
R118,CANAL STREET                  ,00023703,00003909,00000149,00002447,00000022,00009276,00029926,00000000,00000000,00000000,00000000,00000310,00000345,00000046,00001537,00000334,00000326,00000000,00000357,00000000,00000000,00000000,00001635,00000000,                                                                                                                      
R119,FORDHAM ROAD & JEROME AVE     ,00020403,00001135,00000305,00000408,00000017,00025097,00009661,00000000,00000000,00000000,00000000,00000059,00000619,00000008,00001099,00000060,00000091,00000000,00000088,00000000,00000000,00000000,00004647,00000000,                                                                                                                      
