     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/28/2019-01/03/2020,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R015,FIFTH AVENUE                  ,00066535,00002814,00000147,00000470,00000303,00024678,00019905,00000114,00000986,00000441,00000570,00003017,00002763,00000854,00000000,00001847,00000000,00000000,00000000,00000741,00000000,00000062,00000000,00000179,00000107,00000156,                                                                                                    
R016,LEXINGTON AVENUE              ,00013248,00000739,00000052,00000150,00000024,00005000,00006222,00000043,00000206,00000094,00000075,00001015,00000471,00000216,00000000,00000284,00000000,00000000,00000000,00000243,00000000,00000010,00000000,00000086,00000060,00000046,                                                                                                    
R017,LEXINGTON AVENUE              ,00067847,00004241,00000232,00000739,00000204,00023150,00030782,00000124,00000909,00000830,00000462,00004104,00002747,00001083,00000000,00001658,00000000,00000000,00000000,00001901,00000000,00000057,00000000,00000264,00000197,00000233,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00087934,00006854,00001211,00003068,00000022,00063193,00072431,00000035,00000431,00002421,00000030,00005425,00001096,00001442,00000000,00001435,00000000,00000000,00000000,00005925,00000000,00000558,00000000,00000750,00000582,00000996,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00025570,00001561,00000437,00000972,00000020,00014904,00016635,00000026,00000343,00000725,00000013,00001869,00000447,00000222,00000000,00000189,00000000,00000000,00000000,00001806,00000000,00000075,00000000,00000225,00000234,00000178,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00178125,00008215,00000568,00001293,00000309,00088013,00060343,00000295,00002041,00001809,00000335,00011000,00004680,00002040,00000000,00004446,00000000,00000000,00000000,00002852,00000000,00000234,00000000,00001139,00000669,00000781,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00098467,00003737,00000413,00001043,00000080,00050259,00046276,00000252,00001358,00000762,00000053,00006675,00002578,00001525,00000000,00002546,00000000,00000000,00000000,00002250,00000000,00000149,00000000,00000703,00000413,00000516,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00189206,00008932,00000871,00002115,00000328,00103537,00076381,00000464,00001469,00002678,00000448,00008457,00004198,00002159,00000000,00005126,00000000,00000000,00000000,00004698,00000000,00000326,00000000,00001478,00001075,00001238,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00118630,00005500,00000461,00001249,00000211,00042628,00053068,00000166,00001402,00001458,00000298,00005916,00003855,00001765,00000000,00002158,00000000,00000000,00000000,00002367,00000000,00000141,00000000,00000661,00000418,00000622,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00043024,00002212,00000391,00000708,00000126,00027435,00016766,00000019,00000193,00001129,00000214,00001670,00000775,00000333,00000000,00011500,00000000,00000000,00000000,00001921,00000000,00000140,00000000,00000396,00000451,00000320,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00036860,00001714,00000781,00001282,00000010,00038054,00020024,00000060,00000154,00001454,00000008,00002611,00000503,00000292,00000000,00000362,00000000,00000000,00000000,00003770,00000000,00000265,00000000,00000629,00000681,00000453,                                                                                                    
R027,WALL STREET                   ,00040259,00001832,00000102,00000327,00000249,00014848,00018836,00000055,00000458,00000215,00000740,00002800,00001499,00000638,00000000,00001117,00000000,00000000,00000000,00000652,00000000,00000024,00000000,00000146,00000091,00000072,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00048087,00003005,00000261,00000768,00000099,00025502,00025903,00000084,00000466,00000449,00000333,00003948,00001317,00000787,00000000,00001594,00000000,00000000,00000000,00001572,00000000,00000053,00000000,00000387,00000225,00000233,                                                                                                    
R029,PARK PLACE                    ,00103204,00003941,00000347,00000927,00000243,00041371,00034461,00000688,00000939,00000934,00000575,00004325,00002668,00001420,00000000,00003119,00000000,00000000,00000000,00003330,00000000,00000085,00000000,00000476,00000294,00000261,                                                                                                    
R030,CHAMBERS STREET               ,00026111,00002052,00000166,00000365,00000128,00010633,00012869,00000107,00000313,00000342,00000358,00001936,00000960,00000480,00000000,00000541,00000000,00000000,00000000,00004226,00000000,00000024,00000000,00000188,00000161,00000123,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00076579,00004608,00000324,00000781,00000517,00027226,00022455,00000089,00000577,00001074,00001325,00002888,00002529,00000767,00000000,00001431,00000000,00000000,00000000,00001725,00000000,00000058,00000000,00000570,00000471,00000343,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00067337,00003371,00000344,00000816,00000054,00032119,00035808,00000166,00000865,00000583,00000069,00004499,00001974,00001194,00000000,00001460,00000000,00000000,00000000,00001037,00000000,00000077,00000000,00000416,00000264,00000309,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00146597,00006408,00000671,00001239,00000174,00080618,00039390,00000470,00000915,00002073,00000186,00005706,00002681,00001280,00000000,00003740,00000000,00000000,00000000,00003803,00000000,00000183,00000000,00000901,00000551,00000618,                                                                                                    
R034,125TH STREET & BROADWAY       ,00013585,00001311,00000158,00000258,00000014,00008227,00007160,00000013,00000064,00000400,00000016,00000747,00000268,00000202,00000000,00000301,00000000,00000000,00000000,00000996,00000000,00000020,00000000,00000218,00000197,00000157,                                                                                                    
R035,168TH STREET & BROADWAY       ,00037226,00002935,00000353,00000553,00000024,00021113,00022883,00000050,00000186,00001136,00000047,00002526,00000875,00000748,00000000,00000631,00000000,00000000,00000000,00003051,00000000,00000033,00000000,00000665,00000539,00000331,                                                                                                    
R036,DYCKMAN STREET                ,00011579,00001385,00000211,00000302,00000005,00008971,00005753,00000006,00000044,00000776,00000001,00000748,00000065,00000136,00000000,00000110,00000000,00000000,00000000,00001736,00000000,00000014,00000000,00000450,00000351,00000223,                                                                                                    
R037,207TH STREET                  ,00007315,00000747,00000147,00000187,00000000,00008906,00004590,00000013,00000012,00000352,00000003,00000491,00000035,00000055,00000000,00000069,00000000,00000000,00000000,00001004,00000000,00000016,00000000,00000217,00000403,00000212,                                                                                                    
R038,215TH STREET                  ,00002577,00000365,00000033,00000108,00000002,00001481,00001712,00000000,00000043,00000087,00000000,00000181,00000061,00000072,00000000,00000030,00000000,00000000,00000000,00000250,00000000,00000000,00000000,00000063,00000042,00000025,                                                                                                    
R039,225TH STREET                  ,00009667,00000725,00000112,00000143,00000016,00006499,00003883,00000008,00000026,00000374,00000014,00000536,00000073,00000115,00000000,00000079,00000000,00000000,00000000,00001053,00000000,00000015,00000000,00000298,00000309,00000113,                                                                                                    
R040,231ST STREET                  ,00014827,00001730,00000278,00000594,00000001,00010057,00008345,00000055,00000066,00000796,00000003,00000966,00000242,00000148,00000000,00000099,00000000,00000000,00000000,00001377,00000000,00000011,00000000,00000301,00000339,00000287,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00034098,00001967,00000243,00000527,00000115,00018494,00015158,00000909,00000313,00000488,00000321,00002490,00000907,00000434,00000000,00000801,00000000,00000000,00000000,00001464,00000000,00000022,00000000,00000272,00000180,00000187,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00010359,00000265,00000048,00000067,00000026,00010242,00002463,00000127,00000054,00000052,00000049,00000366,00000157,00000066,00000000,00000457,00000000,00000000,00000000,00000234,00000000,00000013,00000000,00000050,00000042,00000043,                                                                                                    
R043,WALL STREET                   ,00030242,00001530,00000126,00000265,00000109,00015075,00015242,00000307,00000382,00000224,00000386,00002071,00000970,00000460,00000000,00000640,00000000,00000000,00000000,00000810,00000000,00000019,00000000,00000219,00000132,00000116,                                                                                                    
R044,BROOKLYN BRIDGE               ,00051405,00003464,00000240,00000818,00000064,00030692,00022780,00000169,00000367,00000580,00000334,00002104,00001179,00000726,00000000,00001447,00000000,00000000,00000000,00002487,00000000,00000067,00000000,00000553,00000264,00000258,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00042792,00002849,00000113,00000284,00000411,00009279,00011982,00000078,00000448,00000285,00000766,00001766,00001687,00000493,00000000,00000598,00000000,00000000,00000000,00000516,00000000,00000018,00000000,00000120,00000117,00000052,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00165811,00007290,00000442,00001032,00000860,00056313,00049746,00000287,00001381,00002086,00001794,00008246,00004387,00001791,00000000,00003705,00000000,00000000,00000000,00001744,00000000,00000088,00000000,00000637,00000401,00000395,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00077951,00004425,00000304,00000897,00000256,00031714,00038382,00000201,00000952,00000442,00000718,00006196,00002627,00001245,00000000,00001600,00000000,00000000,00000000,00001307,00000000,00000082,00000000,00000431,00000348,00000271,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00019324,00001161,00000061,00000185,00000113,00004932,00010442,00000024,00000289,00000125,00000191,00001343,00000879,00000359,00000000,00000215,00000000,00000000,00000000,00000303,00000000,00000018,00000000,00000062,00000049,00000047,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00044563,00002125,00000165,00000436,00000025,00023828,00017938,00000138,00000523,00000292,00000063,00003555,00001205,00000605,00000000,00001382,00000000,00000000,00000000,00000705,00000000,00000035,00000000,00000264,00000165,00000157,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00037333,00002659,00000224,00000549,00000085,00019296,00021276,00000168,00000501,00000517,00000170,00003473,00001236,00000612,00000000,00000721,00000000,00000000,00000000,00000752,00000000,00000059,00000000,00000180,00000185,00000146,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00052274,00004057,00000354,00000915,00000066,00034545,00032549,00000136,00000542,00000548,00000134,00004585,00001559,00000887,00000000,00000799,00000000,00000000,00000000,00001862,00000000,00000060,00000000,00000490,00000438,00000414,                                                                                                    
R052,WOODLAWN ROAD                 ,00007387,00000554,00000212,00000286,00000005,00006598,00003899,00000013,00000031,00000476,00000001,00000414,00000088,00000024,00000000,00000046,00000000,00000000,00000000,00000500,00000000,00000015,00000000,00000090,00000197,00000087,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00029793,00001811,00000469,00000700,00000014,00027203,00012996,00000037,00000067,00001240,00000010,00001972,00000195,00000184,00000000,00000192,00000000,00000000,00000000,00004586,00000000,00000056,00000000,00001135,00001286,00000752,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00026110,00001072,00000084,00000253,00000061,00012364,00012229,00000069,00000313,00000278,00000034,00001565,00000645,00000384,00000000,00000579,00000000,00000000,00000000,00000725,00000000,00000044,00000000,00000144,00000086,00000107,                                                                                                    
R055,MAIN STREET                   ,00086251,00008794,00000937,00005152,00000037,00050053,00071134,00000093,00000496,00002594,00000032,00003320,00000902,00000618,00000000,00001066,00000000,00000000,00000000,00006588,00000000,00000384,00000000,00000745,00000420,00001155,                                                                                                    
R056,NEVINS STREET                 ,00015170,00001179,00000276,00000390,00000006,00009272,00008905,00000023,00000090,00000408,00000015,00001661,00000304,00000289,00000000,00000213,00000000,00000000,00000000,00001621,00000000,00000063,00000000,00000332,00000250,00000152,                                                                                                    
R057,BARCLAYS CENTER               ,00080590,00005477,00000756,00001691,00000443,00036657,00042497,00000091,00000596,00001520,00000951,00005644,00001991,00001334,00000000,00001471,00000000,00000000,00000000,00010262,00000000,00000292,00000000,00001147,00000743,00000659,                                                                                                    
R058,BERGEN STREET                 ,00006834,00000462,00000055,00000126,00000002,00003084,00004739,00000004,00000069,00000082,00000000,00000854,00000235,00000176,00000000,00000236,00000000,00000000,00000000,00000370,00000000,00000009,00000000,00000043,00000033,00000021,                                                                                                    
R059,GRAND ARMY PLAZA              ,00012679,00001738,00000116,00000285,00000002,00005184,00008182,00000014,00000120,00000351,00000007,00001461,00000448,00000317,00000000,00000270,00000000,00000000,00000000,00000855,00000000,00000013,00000000,00000088,00000049,00000071,                                                                                                    
R060,EASTERN PARKWAY               ,00007547,00000765,00000084,00000178,00000003,00003575,00004876,00000007,00000053,00000184,00000001,00000892,00000138,00000161,00000000,00000214,00000000,00000000,00000000,00000568,00000000,00000006,00000000,00000072,00000033,00000025,                                                                                                    
R061,NOSTRAND AVENUE               ,00006393,00000504,00000125,00000098,00000001,00004514,00004000,00000001,00000028,00000228,00000002,00000646,00000064,00000119,00000000,00000138,00000000,00000000,00000000,00000830,00000000,00000030,00000000,00000136,00000087,00000072,                                                                                                    
R062,UTICA AVENUE                  ,00037436,00002490,00000833,00001126,00000003,00028046,00020204,00000028,00000185,00001133,00000015,00002859,00000284,00000461,00000000,00000365,00000000,00000000,00000001,00004031,00000000,00000196,00000000,00000809,00000723,00000488,                                                                                                    
R063,SUTTER AVENUE                 ,00010783,00000822,00000202,00000208,00000008,00007427,00004144,00000002,00000024,00000502,00000001,00000458,00000050,00000169,00000000,00000048,00000000,00000000,00000000,00001766,00000002,00000058,00000000,00000286,00000269,00000119,                                                                                                    
R064,SARATOGA AVENUE               ,00008960,00000543,00000165,00000124,00000000,00005652,00003288,00000002,00000026,00000236,00000000,00000375,00000052,00000114,00000000,00000050,00000000,00000000,00000000,00001508,00000000,00000041,00000000,00000265,00000168,00000103,                                                                                                    
R065,ROCKAWAY AVENUE               ,00007350,00000841,00000173,00000256,00000000,00004735,00002414,00000008,00000014,00000614,00000003,00000330,00000257,00000096,00000002,00000027,00000001,00000000,00000000,00002198,00000000,00000044,00000001,00000475,00000237,00000141,                                                                                                    
R066,JUNIUS STREET                 ,00002763,00000352,00000060,00000114,00000000,00002723,00001395,00000000,00000016,00000113,00000000,00000123,00000008,00000008,00000000,00000019,00000000,00000000,00000000,00000683,00000000,00000033,00000000,00000149,00000154,00000070,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00007047,00000497,00000135,00000133,00000001,00004893,00002142,00000015,00000021,00000322,00000001,00000311,00000019,00000059,00000000,00000042,00000000,00000000,00000000,00001377,00000000,00000023,00000000,00000270,00000195,00000101,                                                                                                    
R068,VAN SICLEN AVENUE             ,00004475,00000318,00000044,00000100,00000000,00002954,00001551,00000009,00000015,00000201,00000000,00000262,00000009,00000021,00000000,00000025,00000001,00000000,00000000,00000684,00000000,00000025,00000000,00000114,00000149,00000044,                                                                                                    
R069,NEW LOTS AVENUE               ,00007970,00000524,00000197,00000203,00000005,00006118,00003358,00000018,00000024,00000375,00000000,00000406,00000063,00000038,00000000,00000050,00000000,00000001,00000000,00001176,00000000,00000053,00000000,00000290,00000220,00000114,                                                                                                    
R070,ST GEORGE TERMINAL            ,00020558,00001398,00000081,00000328,00000002,00003660,00005525,00000112,00000546,00000106,00000002,00000568,00001262,00000109,00000000,00000098,00000000,00000000,00000000,00001135,00000000,00000009,00000000,00000135,00000033,00000057,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00040623,00000949,00000064,00000215,00000075,00022102,00012678,00000101,00000276,00000258,00000075,00002322,00000877,00000434,00000000,00001196,00000000,00000000,00000000,00000784,00000000,00000023,00000000,00000182,00000106,00000118,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00041085,00001927,00000179,00000435,00000067,00022936,00015060,00000172,00000373,00000508,00000137,00002693,00001113,00000422,00000000,00001085,00000000,00000000,00000000,00000561,00000000,00000050,00000000,00000155,00000107,00000129,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00067888,00005091,00000264,00001071,00000061,00033049,00036026,00000171,00000728,00000813,00000114,00005706,00002177,00001230,00000000,00001750,00000000,00000000,00000000,00001321,00000000,00000070,00000000,00000277,00000222,00000268,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00058247,00002061,00000205,00000516,00000035,00034724,00020176,00000137,00000561,00000498,00000036,00003399,00001243,00000607,00000000,00001731,00000000,00000000,00000000,00000973,00000000,00000063,00000000,00000176,00000114,00000160,                                                                                                    
R082,28TH STREET & BROADWAY        ,00025540,00000813,00000158,00000250,00000021,00015822,00012800,00000060,00000228,00000257,00000010,00001478,00000603,00000464,00000000,00000799,00000000,00000000,00000000,00000335,00000000,00000029,00000000,00000114,00000078,00000101,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00038866,00001729,00000202,00000457,00000025,00023904,00019516,00000162,00000389,00000345,00000047,00002707,00001227,00000699,00000000,00001167,00000000,00000000,00000000,00000936,00000000,00000041,00000000,00000174,00000138,00000153,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00141171,00010402,00000940,00002565,00000177,00081229,00068084,00000219,00001103,00002015,00000301,00009135,00004182,00002335,00000000,00004211,00000000,00000000,00000000,00006613,00000000,00000095,00000000,00001052,00000912,00000796,                                                                                                    
R085,8TH STREET & BROADWAY         ,00035212,00001949,00000129,00000340,00000030,00015352,00015572,00000052,00000313,00000317,00000042,00002238,00000956,00000459,00000000,00001036,00000000,00000000,00000000,00000661,00000000,00000040,00000000,00000108,00000074,00000112,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00037405,00001148,00000089,00000227,00000018,00019666,00013643,00000058,00000267,00000221,00000034,00001759,00000845,00000405,00000000,00001163,00000000,00000000,00000000,00000831,00000000,00000040,00000000,00000125,00000107,00000134,                                                                                                    
R087,CITY HALL                     ,00010646,00000716,00000069,00000197,00000005,00004652,00005460,00000062,00000145,00000124,00000017,00000425,00000331,00000197,00000000,00000286,00000000,00000000,00000000,00000745,00000000,00000018,00000000,00000037,00000018,00000046,                                                                                                    
R088,CORTLANDT STREET              ,00058974,00001401,00000145,00000278,00000036,00029806,00016366,00000126,00000517,00000428,00000022,00002546,00001213,00000651,00000000,00001877,00000000,00000000,00000000,00000896,00000000,00000060,00000000,00000176,00000074,00000116,                                                                                                    
R089,JAY ST-METROTECH              ,00006950,00000363,00000033,00000092,00000007,00003528,00003516,00000030,00000087,00000096,00000001,00000461,00000242,00000121,00000000,00000227,00000000,00000000,00000000,00000378,00000000,00000010,00000000,00000044,00000037,00000041,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00006033,00000235,00000072,00000080,00000001,00006623,00002803,00000014,00000025,00000137,00000001,00000378,00000080,00000103,00000000,00000312,00000000,00000000,00000000,00000194,00000000,00000007,00000000,00000039,00000028,00000049,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00011106,00000757,00000069,00000128,00000002,00006538,00008299,00000007,00000080,00000331,00000003,00000850,00000213,00000265,00000000,00000172,00000000,00000000,00000000,00001333,00000000,00000040,00000000,00000136,00000046,00000107,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00020601,00001337,00000146,00000352,00000010,00009846,00016572,00000016,00000175,00000573,00000003,00002151,00000483,00000633,00000000,00000366,00000000,00000000,00000000,00001636,00000000,00000069,00000000,00000100,00000054,00000098,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00025438,00001364,00000148,00000361,00000009,00012721,00018822,00000024,00000152,00000633,00000013,00002627,00000584,00000686,00000000,00000393,00000000,00000000,00000000,00001356,00000000,00000091,00000000,00000201,00000098,00000138,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00013174,00000627,00000069,00000142,00000007,00006972,00009066,00000007,00000101,00000238,00000001,00001232,00000313,00000301,00000000,00000199,00000000,00000000,00000000,00000617,00000000,00000056,00000000,00000071,00000049,00000060,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00030630,00001549,00000197,00000302,00000011,00013611,00020549,00000011,00000276,00000957,00000012,00002518,00000691,00000699,00000000,00000387,00000000,00000000,00000000,00001716,00000000,00000099,00000000,00000188,00000069,00000130,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00028766,00002576,00000384,00000706,00000004,00022101,00014966,00000008,00000096,00001105,00000005,00001037,00000231,00000261,00000000,00000312,00000000,00000000,00000000,00003048,00000000,00000164,00000000,00000248,00000175,00000211,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00043952,00001517,00000276,00000551,00000006,00036473,00015429,00000011,00000065,00000824,00000006,00000776,00000328,00000293,00000000,00000310,00000000,00000000,00000000,00004571,00000000,00000250,00000000,00000346,00000211,00000210,                                                                                                    
R098,CHURCH AVENUE                 ,00021984,00001584,00000389,00000630,00000011,00015444,00015234,00000013,00000130,00000689,00000001,00002090,00000234,00000419,00000000,00000255,00000000,00000000,00000000,00002447,00000000,00000140,00000000,00000320,00000323,00000291,                                                                                                    
R099,DEKALB AVENUE                 ,00030968,00001927,00000338,00001075,00000018,00015339,00024693,00000054,00000306,00000491,00000033,00003601,00000940,00000754,00000000,00000635,00000000,00000000,00000000,00004791,00000000,00000136,00000000,00000428,00000342,00000663,                                                                                                    
R100,METROPOLITAN AVENUE           ,00004964,00000255,00000055,00000158,00000003,00002771,00002926,00000005,00000067,00000145,00000000,00000267,00000101,00000030,00000000,00000031,00000000,00000000,00000000,00000897,00000000,00000020,00000000,00000058,00000042,00000071,                                                                                                    
R101,145TH STREET                  ,00032609,00001924,00000342,00000735,00000011,00031203,00026528,00000037,00000107,00000872,00000020,00002844,00000461,00000762,00000000,00000621,00000000,00000000,00000000,00003171,00000000,00000050,00000000,00000704,00000767,00000623,                                                                                                    
R102,125TH STREET                  ,00044382,00002911,00000823,00001158,00000030,00037179,00028086,00000072,00000155,00001646,00000034,00003666,00000717,00000724,00000000,00000869,00000000,00000000,00000000,00004305,00000002,00000092,00000000,00000902,00001166,00000789,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00012754,00000738,00000285,00000346,00000001,00009831,00005155,00000005,00000028,00000540,00000004,00000553,00000062,00000053,00000000,00000120,00000000,00000000,00000000,00001202,00000000,00000067,00000000,00000344,00000452,00000205,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00015239,00000733,00000203,00000248,00000005,00014328,00006662,00000001,00000016,00000579,00000002,00000882,00000073,00000245,00000000,00000129,00000002,00000000,00000000,00002257,00000000,00000013,00000000,00000534,00000640,00000452,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00038396,00004382,00000362,00000974,00000027,00020866,00019841,00000057,00000394,00000559,00000063,00002847,00001321,00000675,00000000,00000907,00000000,00000000,00000000,00001359,00000000,00000026,00000000,00000212,00000249,00000171,                                                                                                    
R106,CASTLE HILL AVENUE            ,00010647,00000627,00000094,00000167,00000000,00006716,00004483,00000020,00000054,00000295,00000001,00000673,00000054,00000070,00000000,00000063,00000000,00000000,00000000,00001478,00000000,00000013,00000000,00000274,00000197,00000185,                                                                                                    
R107,WESTCHESTER SQUARE            ,00007938,00000512,00000139,00000184,00000001,00005559,00003913,00000041,00000025,00000406,00000002,00000504,00000101,00000085,00000000,00000051,00000000,00000000,00000000,00001327,00000000,00000015,00000000,00000210,00000172,00000119,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00046727,00004941,00000493,00001186,00000085,00019409,00027761,00000151,00000400,00000960,00000165,00004111,00001276,00000927,00000000,00000769,00000000,00000000,00000000,00002583,00000000,00000098,00000000,00000528,00000364,00000308,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00015575,00001098,00000334,00000387,00000002,00010437,00007527,00000008,00000045,00000689,00000003,00001077,00000090,00000146,00000000,00000153,00000000,00000000,00000000,00001601,00000000,00000097,00000000,00000220,00000153,00000091,                                                                                                    
