     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/11/2010-12/17/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R016,LEXINGTON AVENUE              ,00021989,00000962,00000047,00000170,00000085,00004486,00014391,00000013,00000366,00000905,00000114,00000492,00000000,00000210,00000824,00000220,00000122,00000000,00000121,00000000,00000000,00000000,                                                                                                                                        
R017,LEXINGTON AVENUE              ,00097596,00004544,00000192,00000890,00000993,00014826,00058274,00000066,00001150,00002936,00000350,00002038,00000000,00002366,00003395,00001213,00000337,00000000,00000611,00000000,00000000,00000000,                                                                                                                                        
R018,ROOSEVELT AVE/JACKSON HTS     ,00091538,00006067,00000565,00002754,00000027,00043130,00114826,00000136,00001490,00004587,00000096,00000637,00000000,00000139,00006933,00000285,00000147,00000000,00000270,00000000,00000000,00000000,                                                                                                                                        
R019,179TH STREET & HILLSIDE AVE   ,00033007,00001678,00000213,00000910,00000010,00014453,00030932,00000062,00000466,00002434,00000093,00000556,00000000,00000045,00004740,00000146,00000031,00000000,00000066,00000000,00000000,00000000,                                                                                                                                        
R020,47-50 STREETS/ROCKEFELLER     ,00203248,00007950,00000359,00001590,00000923,00040579,00115689,00000078,00008784,00007004,00000759,00003600,00000000,00001619,00006811,00001571,00000654,00000000,00001130,00000000,00000000,00000000,                                                                                                                                        
R021,42ND STREET & 6TH AVENUE      ,00098296,00003856,00000241,00000996,00000149,00023166,00078550,00000059,00002653,00004910,00000474,00002115,00000000,00000308,00005401,00000770,00000442,00000000,00000484,00000000,00000000,00000000,                                                                                                                                        
R022,34TH STREET & 6TH AVENUE      ,00205791,00008701,00000689,00002324,00000922,00057816,00145446,00000159,00009494,00010647,00001951,00002689,00000000,00001834,00010502,00001199,00000571,00000000,00001052,00000000,00000000,00000000,                                                                                                                                        
R023,34TH STREET & 6TH AVENUE      ,00162651,00005543,00000422,00001441,00000758,00030137,00094867,00000125,00002809,00005108,00000425,00002557,00000000,00001555,00005549,00001222,00000639,00000000,00000772,00000000,00000000,00000000,                                                                                                                                        
R024,SUTPHIN BOULEVARD             ,00044039,00001400,00000206,00000604,00000336,00020415,00023661,00000043,00001178,00003017,00000051,00000173,00000000,00000828,00003376,00000132,00000062,00000000,00005299,00000000,00000000,00000000,                                                                                                                                        
R025,JAMAICA CENTER-PARSONS BLVD   ,00061513,00001600,00000405,00001219,00000019,00039256,00041640,00000107,00001204,00007222,00000118,00000319,00000000,00000045,00010000,00000103,00000070,00000000,00000177,00000000,00000000,00000000,                                                                                                                                        
R027,WALL STREET                   ,00064578,00001857,00000099,00000497,00002103,00008440,00042847,00000044,00001064,00002208,00000271,00001397,00000000,00006922,00004257,00000849,00000297,00000000,00000300,00000000,00000000,00000000,                                                                                                                                        
R028,FULTON & WILLIAM STREETS      ,00047015,00002151,00000146,00000618,00000528,00011142,00033020,00000037,00001283,00002936,00000174,00000756,00000000,00001723,00013376,00000355,00000283,00000000,00000299,00000000,00000000,00000000,                                                                                                                                        
R029,PARK PLACE                    ,00142317,00004672,00000250,00001192,00001381,00024042,00073768,00000078,00004311,00005213,00001450,00001903,00000000,00003669,00016862,00001130,00000466,00000000,00000858,00000000,00000000,00000000,                                                                                                                                        
R030,CHAMBERS STREET               ,00053998,00002087,00000155,00000541,00000828,00012895,00037547,00000048,00000935,00002755,00000211,00000739,00000000,00002020,00004823,00000462,00000195,00000000,00000287,00000000,00000000,00000000,                                                                                                                                        
R031,34TH STREET & 7TH AVENUE      ,00116870,00005085,00000318,00001021,00002583,00023532,00047033,00000063,00003050,00004153,00000414,00001364,00000000,00006291,00005231,00001262,00000307,00000000,00000420,00000000,00000000,00000000,                                                                                                                                        
R032,42ND STREET/TIMES SQUARE      ,00084607,00003046,00000187,00000827,00000203,00018457,00067289,00000058,00001494,00003728,00000447,00001601,00000000,00000292,00003467,00000762,00000399,00000000,00000266,00000000,00000000,00000000,                                                                                                                                        
R033,42ND STREET/TIMES SQUARE      ,00204685,00005815,00000428,00001518,00000780,00060377,00103284,00000128,00012745,00009723,00000823,00001897,00000000,00001361,00007492,00001352,00000532,00000000,00001602,00000000,00000000,00000000,                                                                                                                                        
R034,125TH STREET & BROADWAY       ,00015782,00001085,00000100,00000280,00000024,00006963,00013255,00000024,00000328,00001541,00000050,00000130,00000000,00000045,00001215,00000111,00000059,00000000,00000110,00000000,00000000,00000000,                                                                                                                                        
R035,168TH STREET & BROADWAY       ,00056501,00003116,00000294,00000783,00000129,00019269,00043914,00000095,00000759,00004064,00000139,00000247,00000000,00000356,00003268,00000432,00000307,00000000,00000300,00000000,00000000,00000000,                                                                                                                                        
R036,DYCKMAN STREET                ,00012663,00000715,00000062,00000238,00000001,00007164,00007573,00000035,00000135,00000881,00000010,00000036,00000000,00000004,00001174,00000005,00000014,00000000,00000019,00000000,00000000,00000000,                                                                                                                                        
R037,207TH STREET                  ,00009990,00000446,00000095,00000226,00000005,00008953,00008285,00000032,00000193,00000989,00000018,00000027,00000000,00000017,00001106,00000022,00000018,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R038,215TH STREET                  ,00004298,00000216,00000038,00000102,00000000,00001595,00002605,00000003,00000081,00000239,00000005,00000024,00000000,00000000,00000538,00000027,00000026,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R039,225TH STREET                  ,00012180,00000560,00000079,00000189,00000059,00005947,00007915,00000021,00000173,00001112,00000011,00000030,00000000,00000087,00001263,00000071,00000045,00000000,00000034,00000000,00000000,00000000,                                                                                                                                        
R040,231ST STREET                  ,00016054,00001102,00000142,00000362,00000002,00007867,00013007,00000034,00000184,00001141,00000111,00000153,00000000,00000016,00001715,00000095,00000038,00000000,00000026,00000000,00000000,00000000,                                                                                                                                        
R041,BOWLING GREEN & BATTERY PL    ,00042782,00001974,00000158,00000516,00000637,00012236,00029568,00000056,00001652,00002279,00002128,00000881,00000000,00002254,00006951,00000399,00000169,00000000,00000148,00000000,00000000,00000000,                                                                                                                                        
R042,BOWLING GREEN & BROADWAY      ,00007713,00000255,00000023,00000099,00000119,00003810,00004339,00000005,00001148,00000603,00000128,00000123,00000000,00000333,00000796,00000083,00000018,00000000,00000073,00000000,00000000,00000000,                                                                                                                                        
R043,WALL STREET                   ,00056745,00002173,00000117,00000403,00000934,00010073,00042387,00000025,00001451,00002296,00000960,00001080,00000000,00003178,00003340,00000661,00000300,00000000,00000292,00000000,00000000,00000000,                                                                                                                                        
R044,BROOKLYN BRIDGE               ,00084903,00004262,00000210,00001218,00000529,00020145,00051108,00000072,00002645,00004457,00000556,00000914,00000000,00001579,00020984,00000673,00000313,00000000,00000409,00000000,00000000,00000000,                                                                                                                                        
R045,42ND STREET & GRAND CENTRAL   ,00088995,00003400,00000130,00000426,00002507,00007893,00029946,00000019,00001477,00001685,00000250,00001163,00000000,00004873,00001661,00001259,00000261,00000000,00000288,00000000,00000000,00000000,                                                                                                                                        
R046,42ND STREET & GRAND CENTRAL   ,00224925,00008382,00000368,00001274,00003596,00033978,00105204,00000085,00007157,00006545,00000843,00002969,00000000,00009284,00007191,00002468,00000864,00000000,00001155,00000000,00000000,00000000,                                                                                                                                        
R047,42ND STREET & GRAND CENTRAL   ,00108881,00004435,00000203,00000829,00001697,00019704,00076881,00000063,00001355,00004227,00000803,00002308,00000000,00005125,00005794,00001471,00000509,00000000,00000370,00000000,00000000,00000000,                                                                                                                                        
R048,42ND STREET & 3RD AVENUE      ,00031761,00000998,00000024,00000200,00000570,00004679,00019617,00000013,00000278,00000771,00000087,00000607,00000000,00000996,00001399,00000334,00000114,00000000,00000087,00000000,00000000,00000000,                                                                                                                                        
R049,51ST STREET & LEXINGTON AVE   ,00070976,00003235,00000164,00000587,00000134,00015714,00044770,00000031,00002104,00002748,00000404,00001458,00000000,00000399,00003590,00000672,00000330,00000000,00000495,00000000,00000000,00000000,                                                                                                                                        
R050,59TH STREET & LEXINGTON AVE   ,00071913,00003657,00000177,00000739,00000337,00018146,00053664,00000065,00002095,00003749,00000378,00001245,00000000,00000930,00003524,00000746,00000259,00000000,00000368,00000000,00000000,00000000,                                                                                                                                        
R051,59TH STREET & LEXINGTON AVE   ,00092430,00004931,00000243,00000951,00000218,00028940,00075783,00000091,00002562,00005851,00000433,00001154,00000000,00000759,00005376,00000868,00000418,00000000,00000405,00000000,00000000,00000000,                                                                                                                                        
R052,WOODLAWN ROAD                 ,00011312,00000652,00000112,00000312,00000010,00007787,00007719,00000023,00000241,00001064,00000029,00000091,00000000,00000011,00001108,00000067,00000019,00000000,00000023,00000000,00000000,00000000,                                                                                                                                        
R053,149TH STREET & 3RD AVENUE     ,00043617,00001617,00000350,00001045,00000004,00032723,00024677,00000086,00000760,00004913,00000066,00000185,00000000,00000034,00006104,00000037,00000036,00000000,00000111,00000000,00000000,00000000,                                                                                                                                        
R054,FIFTH AVENUE & 42ND STREET    ,00033677,00001455,00000072,00000331,00000177,00007189,00024651,00000015,00001094,00001428,00000188,00000582,00000000,00000244,00001242,00000282,00000126,00000000,00000151,00000000,00000000,00000000,                                                                                                                                        
R055,MAIN STREET                   ,00085151,00006123,00000445,00003840,00000006,00033752,00119119,00000094,00001489,00003932,00000190,00000647,00000000,00000111,00005846,00000254,00000112,00000000,00000185,00000000,00000000,00000000,                                                                                                                                        
R056,NEVINS STREET                 ,00025823,00001292,00000206,00000476,00000028,00011937,00015914,00000062,00000402,00002155,00000062,00000128,00000000,00000088,00003923,00000094,00000047,00000000,00000094,00000000,00000000,00000000,                                                                                                                                        
R057,ATLANTIC AVENUE               ,00082154,00003629,00000391,00001143,00002626,00026017,00058895,00000122,00001265,00005709,00000202,00000573,00000000,00006261,00008150,00000570,00000346,00000000,00000417,00000000,00000000,00000000,                                                                                                                                        
R058,BERGEN STREET                 ,00009409,00000414,00000033,00000108,00000003,00002724,00009725,00000010,00000129,00000805,00000007,00000155,00000000,00000012,00001386,00000090,00000086,00000000,00000062,00000000,00000000,00000000,                                                                                                                                        
R059,GRAND ARMY PLAZA              ,00017155,00001660,00000096,00000351,00000010,00003999,00017030,00000018,00000168,00001094,00000010,00000316,00000000,00000057,00002352,00000160,00000099,00000000,00000082,00000000,00000000,00000000,                                                                                                                                        
R060,EASTERN PARKWAY               ,00009391,00000742,00000096,00000217,00000014,00003458,00010524,00000026,00000190,00000888,00000017,00000128,00000000,00000031,00001398,00000063,00000077,00000000,00000043,00000000,00000000,00000000,                                                                                                                                        
R061,NOSTRAND AVENUE               ,00008161,00000447,00000066,00000152,00000003,00004901,00005494,00000023,00000130,00000825,00000010,00000032,00000000,00000002,00001123,00000020,00000011,00000000,00000030,00000000,00000000,00000000,                                                                                                                                        
R062,UTICA AVENUE                  ,00048446,00002081,00000409,00001204,00000007,00032186,00032641,00000150,00000715,00005515,00000066,00000299,00000001,00000051,00007909,00000070,00000079,00000000,00000139,00000000,00000000,00000000,                                                                                                                                        
R063,SUTTER AVENUE                 ,00016351,00000542,00000110,00000283,00000004,00008894,00007190,00000019,00000217,00001698,00000005,00000067,00000000,00000018,00001927,00000025,00000008,00000000,00000029,00000000,00000000,00000000,                                                                                                                                        
R064,SARATOGA AVENUE               ,00013088,00000391,00000084,00000146,00000005,00006149,00005444,00000015,00000163,00001147,00000005,00000052,00000000,00000009,00001300,00000016,00000033,00000000,00000009,00000000,00000000,00000000,                                                                                                                                        
R065,ROCKWAY AVENUE                ,00013164,00000547,00000120,00000169,00000000,00006694,00004632,00000023,00000154,00001262,00000010,00000028,00000000,00000018,00001738,00000002,00000003,00000000,00000018,00000000,00000000,00000000,                                                                                                                                        
R066,JUNIUS STREET                 ,00004705,00000280,00000041,00000051,00000000,00002661,00001906,00000007,00000072,00000567,00000005,00000021,00000000,00000003,00000565,00000012,00000005,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R067,PENNSYLVANIA AVENUE           ,00011770,00000386,00000113,00000192,00000001,00006967,00005055,00000038,00000152,00001172,00000014,00000033,00000000,00000009,00001433,00000007,00000000,00000000,00000023,00000000,00000000,00000000,                                                                                                                                        
R068,VAN SICLEN AVENUE             ,00007222,00000262,00000024,00000074,00000001,00004000,00003194,00000009,00000080,00000727,00000020,00000023,00000000,00000003,00001038,00000010,00000001,00000000,00000010,00000000,00000000,00000000,                                                                                                                                        
R069,NEW LOTS AVENUE               ,00011353,00000457,00000090,00000191,00000000,00007648,00005702,00000030,00000186,00001407,00000011,00000046,00000000,00000007,00001795,00000010,00000021,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R070,ST GEORGE TERMINAL            ,00030940,00001188,00000038,00000275,00000000,00002982,00009059,00000024,00000320,00000395,00000276,00001205,00000000,00000006,00002334,00000440,00000040,00000000,00000097,00000000,00000000,00000000,                                                                                                                                        
R079,FIFTH AVENUE & 60TH STREET    ,00054564,00002286,00000115,00000417,00000332,00012744,00034345,00000025,00002918,00002250,00000370,00000926,00000000,00000729,00003221,00000553,00000161,00000000,00000289,00000000,00000000,00000000,                                                                                                                                        
R080,57TH STREET & 7TH AVENUE      ,00072300,00004341,00000197,00000950,00000246,00019568,00059717,00000049,00002057,00003797,00000327,00001104,00000000,00000520,00004339,00000655,00000290,00000000,00000427,00000000,00000000,00000000,                                                                                                                                        
R081,49TH STREET & 7TH AVENUE      ,00076951,00002399,00000163,00000765,00000125,00020577,00055399,00000032,00004691,00003123,00000418,00001203,00000000,00000277,00003036,00000603,00000305,00000000,00000563,00000000,00000000,00000000,                                                                                                                                        
R082,28TH STREET & BROADWAY        ,00026267,00001007,00000119,00000307,00000035,00008554,00022123,00000023,00001081,00001267,00000103,00000355,00000000,00000077,00000970,00000224,00000123,00000000,00000187,00000000,00000000,00000000,                                                                                                                                        
R083,23RD STREET & 5TH AVENUE      ,00053163,00001922,00000136,00000497,00000169,00012202,00044088,00000023,00001659,00002702,00000705,00000904,00000000,00000249,00002193,00000537,00000247,00000000,00000330,00000000,00000000,00000000,                                                                                                                                        
R084,59TH STREET/COLUMBUS CIRCLE   ,00185956,00009166,00000537,00002279,00000752,00049459,00129123,00000177,00005648,00011608,00000528,00001907,00000000,00001999,00009777,00001919,00000813,00000000,00001320,00000000,00000000,00000000,                                                                                                                                        
R085,8TH STREET & BROADWAY         ,00046205,00002100,00000100,00000486,00000112,00010794,00039525,00000043,00001651,00002959,00000222,00000521,00000000,00000323,00001730,00000401,00000243,00000000,00000434,00000000,00000000,00000000,                                                                                                                                        
R086,PRINCE STREET & BROADWAY      ,00047831,00001295,00000065,00000280,00000078,00013657,00035915,00000016,00002924,00003218,00000212,00000380,00000000,00000258,00001677,00000324,00000198,00000000,00000418,00000000,00000000,00000000,                                                                                                                                        
R087,CITY HALL                     ,00022840,00001052,00000083,00000281,00000029,00004362,00015922,00000018,00000814,00000859,00000293,00000378,00000000,00000112,00003893,00000194,00000080,00000000,00000111,00000000,00000000,00000000,                                                                                                                                        
R088,CORTLANDT STREET              ,00010826,00000229,00000016,00000058,00000014,00003898,00004466,00000006,00002089,00000399,00000088,00000084,00000000,00000039,00000322,00000053,00000021,00000000,00000146,00000000,00000000,00000000,                                                                                                                                        
R089,JAY ST-METROTECH              ,00011782,00000511,00000050,00000135,00000029,00002578,00008934,00000008,00000113,00000713,00000114,00000160,00000000,00000068,00001858,00000105,00000021,00000000,00000040,00000000,00000000,00000000,                                                                                                                                        
R090,39TH AVENUE & 31ST STREET     ,00007373,00000284,00000038,00000080,00000005,00002867,00003791,00000012,00000229,00000478,00000020,00000033,00000000,00000004,00000945,00000039,00000015,00000000,00000023,00000000,00000000,00000000,                                                                                                                                        
R091,36TH AVENUE & 31ST STREET     ,00015559,00000674,00000086,00000186,00000007,00005919,00017749,00000003,00000195,00000996,00000027,00000168,00000000,00000027,00000996,00000058,00000060,00000000,00000057,00000000,00000000,00000000,                                                                                                                                        
R092,BROADWAY & 31ST STREET        ,00026462,00001457,00000096,00000369,00000005,00008005,00033570,00000013,00000358,00001894,00000021,00000148,00000000,00000036,00001939,00000115,00000150,00000000,00000093,00000000,00000000,00000000,                                                                                                                                        
R093,30TH AVENUE & 31ST STREET     ,00029394,00001202,00000122,00000472,00000005,00010426,00036342,00000029,00000376,00002040,00000019,00000236,00000000,00000037,00002092,00000175,00000157,00000000,00000109,00000000,00000000,00000000,                                                                                                                                        
R094,ASTORIA BLVD & 31ST STREET    ,00024442,00000907,00000093,00000301,00000010,00008265,00028041,00000023,00000619,00001588,00000028,00000251,00000000,00000026,00001464,00000134,00000175,00000000,00000075,00000000,00000000,00000000,                                                                                                                                        
R095,DITMARS BLVD & 31ST STREET    ,00035998,00001514,00000096,00000362,00000015,00009673,00040477,00000037,00000420,00002064,00000040,00000422,00000000,00000035,00002351,00000168,00000167,00000000,00000089,00000000,00000000,00000000,                                                                                                                                        
R096,82ND STREET-JACKSON HEIGHTS   ,00034507,00002485,00000247,00000677,00000009,00017352,00024569,00000059,00001086,00001143,00000036,00000112,00000000,00000035,00001508,00000063,00000041,00000000,00000065,00000000,00000000,00000000,                                                                                                                                        
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00059864,00001298,00000150,00000390,00000016,00029823,00027584,00000008,00001090,00001347,00000010,00000117,00000000,00000001,00001483,00000034,00000018,00000000,00000076,00000000,00000000,00000000,                                                                                                                                        
R098,CHURCH AVENUE                 ,00029796,00001313,00000305,00000682,00000008,00018144,00022439,00000096,00000365,00002774,00000038,00000170,00000000,00000019,00002959,00000042,00000095,00000000,00000076,00000000,00000000,00000000,                                                                                                                                        
R099,DEKALB AVENUE                 ,00034753,00001445,00000184,00000668,00000043,00010905,00030372,00000057,00000451,00002755,00000107,00000332,00000000,00000081,00003663,00000258,00000184,00000000,00000148,00000000,00000000,00000000,                                                                                                                                        
R100,METROPOLITAN AVENUE           ,00007310,00000328,00000017,00000117,00000003,00002352,00004240,00000003,00000066,00000356,00000007,00000090,00000000,00000004,00000853,00000029,00000004,00000000,00000012,00000000,00000000,00000000,                                                                                                                                        
R101,145TH STREET                  ,00041172,00001407,00000309,00000804,00000015,00025423,00040695,00000067,00000672,00004847,00000056,00000189,00000000,00000069,00004475,00000098,00000132,00000000,00000130,00000000,00000000,00000000,                                                                                                                                        
R102,125TH STREET                  ,00050517,00002222,00000485,00001169,00000027,00029433,00039908,00000079,00001129,00005868,00000073,00000204,00000000,00000136,00005997,00000189,00000195,00000000,00000175,00000000,00000000,00000000,                                                                                                                                        
R103,BROADWAY-EAST NEW YORK        ,00016322,00000471,00000161,00000321,00000008,00010118,00007798,00000038,00000270,00001790,00000028,00000058,00000000,00000025,00002724,00000009,00000005,00000000,00000045,00000000,00000000,00000000,                                                                                                                                        
R104,167TH ST-GRAND CONCOURSE      ,00019586,00000629,00000107,00000272,00000006,00013550,00012096,00000026,00000219,00001870,00000018,00000064,00000000,00000009,00001601,00000025,00000010,00000000,00000042,00000000,00000000,00000000,                                                                                                                                        
R105,14TH STREET & 7TH AVENUE      ,00059237,00004496,00000299,00001193,00000167,00017798,00046659,00000094,00001307,00004056,00000178,00000665,00000000,00000415,00004095,00000582,00000244,00000000,00000440,00000000,00000000,00000000,                                                                                                                                        
R106,CASTLE HILL AVENUE            ,00015012,00000529,00000100,00000254,00000002,00007678,00009763,00000030,00000164,00001220,00000036,00000112,00000000,00000008,00001678,00000042,00000025,00000000,00000027,00000000,00000000,00000000,                                                                                                                                        
R107,WESTCHESTER SQUARE            ,00009760,00000424,00000083,00000222,00000006,00005544,00006969,00000020,00000135,00001118,00000085,00000041,00000000,00000007,00001345,00000045,00000017,00000000,00000065,00000000,00000000,00000000,                                                                                                                                        
R108,BOROUGH HALL - COURT STREET   ,00090650,00006114,00000448,00001643,00000395,00022678,00065171,00000131,00001303,00005472,00000468,00001148,00000000,00001138,00012122,00000768,00000382,00000000,00000378,00000000,00000000,00000000,                                                                                                                                        
R109,CHURCH AVENUE & NOSTRAND AV   ,00020030,00000952,00000203,00000378,00000008,00011894,00011238,00000033,00000290,00001674,00000018,00000098,00000000,00000008,00002167,00000014,00000039,00000000,00000050,00000000,00000000,00000000,                                                                                                                                        
R110,FLATBUSH AVE & NOSTRAND AV    ,00035424,00001539,00000346,00000822,00000020,00019622,00029359,00000077,00000445,00003609,00000147,00000293,00000000,00000046,00006631,00000213,00000069,00000000,00000096,00000000,00000000,00000000,                                                                                                                                        
R111,23RD STREET & 8TH AVENUE      ,00054769,00003685,00000259,00001206,00000039,00015930,00044206,00000063,00001148,00003623,00000110,00000673,00000000,00000141,00004490,00000489,00000293,00000000,00000536,00000000,00000000,00000000,                                                                                                                                        
R112,FORDHAM RD/GRAND CONCOURSE    ,00025742,00000761,00000189,00000347,00000017,00015401,00013408,00000036,00000461,00001977,00000039,00000088,00000000,00000056,00002009,00000060,00000012,00000000,00000060,00000000,00000000,00000000,                                                                                                                                        
R113,SEVENTH AVENUE & WEST 53RD    ,00044213,00001252,00000079,00000289,00000601,00009758,00022687,00000011,00001270,00001446,00000115,00000743,00000000,00001060,00003015,00000398,00000133,00000000,00000457,00000000,00000000,00000000,                                                                                                                                        
R114,PARSONS BLVD & HILLSIDE AV    ,00011757,00000633,00000097,00000243,00000003,00005003,00009197,00000025,00000132,00000788,00000024,00000054,00000000,00000003,00001128,00000029,00000021,00000000,00000041,00000000,00000000,00000000,                                                                                                                                        
R115,169TH STREET & HILLSIDE AVE   ,00017853,00000901,00000115,00000334,00000005,00005982,00015560,00000014,00000214,00000688,00000014,00000129,00000000,00000018,00001298,00000062,00000042,00000000,00000043,00000000,00000000,00000000,                                                                                                                                        
R116,50TH STREET & 7TH AVENUE      ,00076928,00003047,00000206,00000712,00001062,00017071,00042383,00000092,00002781,00002845,00000220,00001125,00000000,00001901,00003067,00000773,00000269,00000000,00000489,00000000,00000000,00000000,                                                                                                                                        
R117,242ND STREET & BROADWAY       ,00011012,00000463,00000060,00000174,00000000,00004763,00007730,00000007,00000218,00000668,00000037,00000081,00000000,00000023,00000826,00000084,00000019,00000000,00000034,00000000,00000000,00000000,                                                                                                                                        
R118, CANAL STREET                 ,00019574,00002619,00000065,00002164,00000025,00003945,00028482,00000020,00000780,00000767,00000067,00000236,00000000,00000073,00002385,00000095,00000048,00000000,00000102,00000000,00000000,00000000,                                                                                                                                        
R119,FORDHAM ROAD & JEROME AVE     ,00025044,00000809,00000147,00000348,00000010,00016401,00012811,00000045,00000677,00002085,00000023,00000042,00000000,00000017,00001884,00000037,00000018,00000000,00000051,00000000,00000000,00000000,                                                                                                                                        
R120,MORRISON AVE & WESTCHESTER    ,00012177,00000393,00000070,00000118,00000005,00007825,00005494,00000015,00000132,00001201,00000007,00000047,00000000,00000003,00000918,00000010,00000007,00000000,00000014,00000000,00000000,00000000,                                                                                                                                        
R121,QUEENSBORO PLAZA              ,00016981,00000493,00000048,00000245,00000057,00009112,00013066,00000024,00000562,00000987,00000053,00000105,00000000,00000139,00001158,00000091,00000046,00000000,00000120,00000000,00000000,00000000,                                                                                                                                        
